Unnamed: 0,State,Year,Quarter,brands,Count,Percentage,Count_log,Percentage_log
1467,Dadra and Nagar Haveli and Daman and Diu,2021,3,Realme,32929,0.0885488095430172,10.402109007463212,-2.424201358739574
1468,Dadra and Nagar Haveli and Daman and Diu,2021,3,Apple,6802,0.0182911416232379,8.82497196556714,-4.001338400635649
1469,Dadra and Nagar Haveli and Daman and Diu,2021,3,Tecno,5777,0.0155348316903037,8.661639795781266,-4.16467057042152
1470,Dadra and Nagar Haveli and Daman and Diu,2021,3,Motorola,4807,0.0129264213147463,8.47782846789396,-4.348481898308832
1471,Dadra and Nagar Haveli and Daman and Diu,2021,3,Huawei,4785,0.0128672614917956,8.473241303887054,-4.353069062315732
1472,Dadra and Nagar Haveli and Daman and Diu,2021,3,Infinix,4734,0.0127301182658642,8.46252579007393,-4.363784576128859
1473,Dadra and Nagar Haveli and Daman and Diu,2021,3,Others,28219,0.0758832292658266,10.247750788917848,-2.578559577284937
1474,Dadra and Nagar Haveli and Daman and Diu,2021,4,Vivo,104203,0.2611846211302802,11.554096198673905,-1.34252776106866
1475,Dadra and Nagar Haveli and Daman and Diu,2021,4,Xiaomi,85964,0.2154686023515965,11.361683882945096,-1.534940076797468
1476,Dadra and Nagar Haveli and Daman and Diu,2021,4,Samsung,61231,0.1534753849354451,11.022408876202102,-1.8742150835404625
1477,Dadra and Nagar Haveli and Daman and Diu,2021,4,Oppo,50155,0.1257134120206635,10.822873489317585,-2.07375047042498
1478,Dadra and Nagar Haveli and Daman and Diu,2021,4,Realme,39211,0.0982822968545955,10.5767125986592,-2.3199113610833653
1479,Dadra and Nagar Haveli and Daman and Diu,2021,4,Apple,7542,0.0189040086424054,8.928242677818302,-3.9683812819242643
1480,Dadra and Nagar Haveli and Daman and Diu,2021,4,Tecno,6955,0.0174326942598687,8.847216104357543,-4.049407855385022
1481,Dadra and Nagar Haveli and Daman and Diu,2021,4,Infinix,6018,0.0150841055436218,8.70251025718999,-4.194113702552577
1482,Dadra and Nagar Haveli and Daman and Diu,2021,4,OnePlus,5332,0.0133646478495499,8.5814816812986,-4.31514227844397
1483,Dadra and Nagar Haveli and Daman and Diu,2021,4,Motorola,4828,0.0121013728090073,8.482187582217422,-4.4144363775251465
1484,Dadra and Nagar Haveli and Daman and Diu,2021,4,Others,27524,0.0689888536029657,10.22281363032237,-2.6738103294201943
1485,Dadra and Nagar Haveli and Daman and Diu,2022,1,Vivo,111699,0.2630873589749629,11.623563032465741,-1.3352691385555218
1486,Dadra and Nagar Haveli and Daman and Diu,2022,1,Xiaomi,89446,0.2106743293214311,11.401390370217602,-1.5574418008036603
1487,Dadra and Nagar Haveli and Daman and Diu,2022,1,Samsung,63414,0.1493605294768825,11.057439936237403,-1.9013922347838599
1488,Dadra and Nagar Haveli and Daman and Diu,2022,1,Oppo,53652,0.1263678545351767,10.89027402602198,-2.068558144999282
1489,Dadra and Nagar Haveli and Daman and Diu,2022,1,Realme,44772,0.105452575547024,10.709338223009158,-2.2494939480121046
1490,Dadra and Nagar Haveli and Daman and Diu,2022,1,Apple,8300,0.0195491909461337,9.02401079378469,-3.9348213772365748
1491,Dadra and Nagar Haveli and Daman and Diu,2022,1,Tecno,8287,0.0195185717313988,9.022443300849043,-3.9363888701722214
1492,Dadra and Nagar Haveli and Daman and Diu,2022,1,Infinix,6909,0.0162729349694985,8.840580188488795,-4.11825198253247
1493,Dadra and Nagar Haveli and Daman and Diu,2022,1,OnePlus,5945,0.0140024024306945,8.690305809124883,-4.268526361896386
1494,Dadra and Nagar Haveli and Daman and Diu,2022,1,Motorola,4850,0.0114233224203311,8.48673398393153,-4.472098187089738
1495,Dadra and Nagar Haveli and Daman and Diu,2022,1,Others,27296,0.0642909296464658,10.214495450291405,-2.7443367207298572
1496,Delhi,2018,1,Xiaomi,529823,0.25386555580152,13.180298267486338,-1.3709504599644928
1497,Delhi,2018,1,Samsung,407203,0.1951119825282148,12.917067111578344,-1.6341816158724862
1498,Delhi,2018,1,Vivo,223992,0.1073261326425883,12.319365615913693,-2.2318831115371385
1499,Delhi,2018,1,Oppo,186309,0.0892702616455408,12.135161864601573,-2.416086862849258
1500,Delhi,2018,1,Apple,138507,0.0663658552712908,11.838676144848597,-2.712572582602235
1501,Delhi,2018,1,Realme,88082,0.0422046341629364,11.386023477769106,-3.165225249681726
