State,Year,Quarter,District,Count,Amount,Count_log,Amount_log
Gujarat,2022,3,devbhumi dwarka district,918151,1779143512.572445,13.730117144093386,21.299397912737557
Gujarat,2022,3,rajkot district,8053297,15206611341.200829,15.901592130763197,23.444996126890363
Gujarat,2022,3,aravallis district,2236769,3920741952.595134,14.620542971841184,22.089546746459998
Gujarat,2022,3,chhotaudepur district,545300,995504884.7700688,13.209091380914153,20.718760588307383
Gujarat,2022,3,botad district,1433437,2591773863.872061,14.175585614961708,21.675608367753952
Gujarat,2022,3,bharuch district,11270803,15949022077.719542,16.237726134586858,23.4926633525559
Gujarat,2022,3,bhavnagar district,4568839,9041452290.515198,15.334769682454649,22.925085650053074
Gujarat,2022,3,junagadh district,1537367,3043926124.674228,14.245581770856077,21.836414007490454
Gujarat,2022,3,mahesana district,6403784,12429803356.66823,15.672399623610485,23.243362922285023
Gujarat,2022,3,the dangs district,254111,381893547.7480219,12.445526458414559,19.760652456918226
Gujarat,2022,3,kheda district,3591066,5933588857.8341465,15.09395965232086,22.503895070576135
Gujarat,2022,3,surat district,46500453,78304481289.11215,17.654972612445615,25.083870670605744
Gujarat,2022,3,porbandar district,578802,1357830610.5275652,13.268715729158513,21.029154123787134
Gujarat,2022,3,gandhinagar district,10879868,17098915693.48831,16.20242466696553,23.56228088870702
Gujarat,2022,3,panch mahals district,2823294,4508411917.771397,14.85341484634006,22.22921080378789
Gujarat,2022,3,narmada district,723343,1114771648.905864,13.491638800814535,20.83191542169671
Gujarat,2022,3,gir somnath district,1406104,3027458849.11908,14.156333317322746,21.830989440935504
Gujarat,2022,3,valsad district,9633288,13905599408.86188,16.080735158521126,23.355557431136674
Gujarat,2022,3,mahisagar district,1122900,1986607331.6766157,13.93142518256063,21.409694162303815
Gujarat,2022,3,sabar kantha district,3760015,6565494234.606799,15.139933504719822,22.605093625128273
Gujarat,2022,3,tapi district,1473584,2258710020.370042,14.203208086660933,21.538059699822554
Gujarat,2022,3,vadodara district,23318716,32733106034.525204,16.9647668578964,24.21165281965917
Gujarat,2022,3,banas kantha district,11035119,22401495021.82648,16.216593381484333,23.83239353562608
Gujarat,2022,3,amreli district,1325138,2656525026.780618,14.097027162922522,21.700284724771038
Gujarat,2022,3,ahmadabad district,117574996,184255244712.72232,18.582586951774548,25.93958783280868
Gujarat,2022,3,dohad district,2182542,3862273582.173657,14.596000810496985,22.07452185795012
Gujarat,2022,3,navsari district,2421727,3829182729.863163,14.699991479979158,22.06591723091013
Gujarat,2022,3,patan district,3407916,6332131544.324939,15.041611518740256,22.568902753279545
Gujarat,2022,3,kachchh district,9375781,16533683640.305622,16.05364043301761,23.528665569706433
Gujarat,2022,3,surendranagar district,2522750,5153708091.863037,14.740860134326775,22.362982310371052
Gujarat,2022,3,morbi district,2735437,6075514370.909432,14.821801761696227,22.52753249269726
Gujarat,2022,4,anand district,4351503,7433779371.016341,15.28603186062891,22.729300230013607
Gujarat,2022,4,jamnagar district,4945374,7625464587.433752,15.413963152130464,22.75475908708327
Gujarat,2022,4,devbhumi dwarka district,910863,1848097499.2814,13.722147780740064,21.337422568125586
Gujarat,2022,4,rajkot district,9260831,17834314868.93695,16.04130434341663,23.604390240045294
Gujarat,2022,4,aravallis district,2532438,4651225998.251141,14.744693033067879,22.260396677332544
Gujarat,2022,4,chhotaudepur district,640222,1199597589.6415567,13.36957027018863,20.905251995535306
Gujarat,2022,4,botad district,1634212,3051272765.4072547,14.306671288948252,21.838824640653772
Gujarat,2022,4,bharuch district,15879527,22486941029.828552,16.580541227445448,23.836200578985988
Gujarat,2022,4,bhavnagar district,5089277,10905403197.73602,15.442646335215608,23.112524209574083
Gujarat,2022,4,junagadh district,2532155,4948034874.389366,14.744581276802254,22.322256339630748
Gujarat,2022,4,mahesana district,7160396,14173625244.242264,15.784075844670008,23.37464869732375
Gujarat,2022,4,the dangs district,317748,463583958.8647848,12.6690138947754,19.954498067590478
Gujarat,2022,4,kheda district,3509944,6102744146.658854,15.071110640898821,22.532004367076965
Gujarat,2022,4,surat district,52037142,85923991746.92255,17.767468290807606,25.176728925507238
Gujarat,2022,4,porbandar district,615650,1513924726.4532723,13.330433899221017,21.137971272398904
Gujarat,2022,4,gandhinagar district,12010565,19015449813.738014,16.301297237079517,23.668517633778528
Gujarat,2022,4,panch mahals district,3308022,5455257544.003246,15.01186098564774,22.419845667583196
Gujarat,2022,4,narmada district,846033,1308463852.7294805,13.648313644919803,20.992119654584982
Gujarat,2022,4,gir somnath district,1671989,3731133998.415558,14.329524493657773,22.039978045420046
Gujarat,2022,4,valsad district,11103340,15842261457.57137,16.222756521921866,23.48594698192827
Gujarat,2022,4,mahisagar district,1619162,2861334019.0561805,14.29741928942045,21.77455379325818
Gujarat,2022,4,sabar kantha district,4958012,8965673462.522814,15.416515411905122,22.916669062489664
Gujarat,2022,4,tapi district,1635320,2610910573.870913,14.307349061817527,21.682964876314674
Gujarat,2022,4,vadodara district,20968443,30304178848.49663,16.858529151194475,24.134551455744194
Gujarat,2022,4,banas kantha district,12352158,25179922289.863693,16.329341342615663,23.949312779372928
Gujarat,2022,4,amreli district,1619039,3343832001.6098003,14.29734332131343,21.93038329215381
Gujarat,2022,4,ahmadabad district,133174553,212037117715.34885,18.707171254275877,26.080027179856053
Gujarat,2022,4,dohad district,2608983,4807410074.584564,14.77447104819116,22.293424330017643
Gujarat,2022,4,navsari district,2509503,4046502522.583535,14.735595283533673,22.121118770298708
Gujarat,2022,4,patan district,3819745,7472645579.49339,15.155694224427913,22.734514933965837
Gujarat,2022,4,kachchh district,9617702,17113433243.30934,16.079115916767275,23.563129561840757
Gujarat,2022,4,surendranagar district,2537495,5716407620.510841,14.746687931886889,22.466606406667175
